ZONA;PROMOT.;A_TOTAL_(m2);P_TOTAL_(m);A_SALON;P_SALON;A_COCINA;P_COCINA;A_BAÑO1;P_BAÑO1;A_BAÑO2;P_BAÑO2;A_BAÑO3;P_BAÑO3;A_BAÑO4;P_BAÑO4;A_ASEO;P_ASEO;A_DORM1;P_DORM1;A_DORM2;P_DORM2;A_DORM3;P_DORM3;A_DORM4;P_DORM4;A_DORM5;P_DORM5;A_DORM6;P_DORM6;A_ENTRADA;P_ENTRADA;A_PASILLO;P_PASILLO;A_LAVADERO;P_LAVADERO;A_TERRAZA;P_TERRAZA
;Patraix / Realia;67.62;1.080.288;20.45;27.403;7.03;94.202;4.3;10.148;4.04;95.344;;;;;;;15.36;205.824;10.12;135.608;;;;;;;;;2.99;82.225;3.33;91.575;;;34.78;20.868
Sevilla;San Jerónimo;67.84;1.079.087;18.39;246.426;7.96;106.664;3.52;83.072;3.1;7.316;;;;;;;11.76;157.584;8.64;115.776;7.2;9.648;;;;;;;3.22;8.855;4.05;111.375;;;2.1;1.26
La Coruña;Caleida - Metrovacesa;67.9;117.725;20;26.8;5;6.7;5.4;12.744;3.3;7.788;;;;;;;12.7;17.018;8;10.72;;;;;;;;;5.9;16.225;4.6;12.65;3;7.08;;
Sevilla;Macarena 40 / Aniceto;67.91;1.066.156;18.23;244.282;7.03;94.202;4.58;108.088;3.21;75.756;;;;;;;12.01;160.934;8.87;118.858;8.54;114.436;;;;;;;2.25;61.875;3.19;87.725;;;;
Albacete;Santa Quiteria;67.93;978.194;28.368;3.801.312;7.092;950.328;3.78;89.208;2.88;67.968;;;;;;;15.64;209.576;10.17;136.278;;;;;;;;;;;;;;;15.71;9.426
Sevilla;M10 Bermejales;67.95;1.062.018;19.75;26.465;10;13.4;3.82;90.152;;;;;;;2.24;52.864;10.37;138.958;7.72;103.448;7.69;103.046;;;;;;;2.56;7.04;3.8;10.45;;;;
;SUNP-AE-1;67.95;1.076.001;18.14;243.076;7.57;101.438;3.57;84.252;2.52;59.472;;;;;;;12.44;166.696;8.26;110.684;8.12;108.808;;;;;;;1.27;34.925;6.06;16.665;;;;
Sevilla;Pol. Aerpuerto;67.98;1.050.555;19.4;25.996;8.02;107.468;3.56;84.016;2.65;6.254;;;;;;;11.94;159.996;8.94;119.796;8.06;108.004;;;;;;;2.28;6.27;3.13;86.075;;;;
Sevilla;Torremagna;68;107.425;22.3;29.882;7.9;10.586;3.8;8.968;3.2;7.552;;;;;;;15.8;21.172;8.5;11.39;;;;;;;;;4.3;11.825;2.2;6.05;;;26.5;15.9
Córdoba;Terrazas de Sta. Rosa / Insur;68.01;109.737;18.91;253.394;8.39;112.426;4.31;101.716;3.81;89.916;;;;;;;14.62;195.908;10.65;14.271;;;;;;;;;7.32;20.13;;;;;4;2.4
Granada;Alma F2;68.1;99;26.6;35.644;9;12.06;4;9.44;;;;;;;;;15.5;20.77;10.4;13.936;;;;;;;;;;;2.6;7.15;;;8.8;5.28
Valladolid;Resid. Castilla;68.1;1.090.725;19.2;25.728;9.45;12.663;4.4;10.384;;;;;;;;;15.1;20.234;10.15;13.601;;;;;;;;;7.55;207.625;1;2.75;1.25;2.95;9.2;5.52
;SUNP-AE-1;68.11;1.049.093;18.53;248.302;7.99;107.066;3.36;79.296;2.37;55.932;;;;;;;12.93;173.262;8.71;116.714;8.69;116.446;;;;;;;1.1;3.025;4.43;121.825;;;;
Sevilla;Pino Montano Emvisesa;68.2;1.064.195;18;24.12;7.15;9.581;3.5;8.26;3.15;7.434;;;;;;;12.05;16.147;11.3;15.142;7.2;9.648;;;;;;;2.2;6.05;3.65;100.375;;;;
;Uralita;68.25;107.409;19.94;267.196;7.29;97.686;4.5;10.62;;;;;;;2.93;69.148;10.76;144.184;8.68;116.312;8.21;110.014;;;;;;;2.65;72.875;3.29;90.475;;;;
