zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Granada,Alma F2,68.60,2,1,0,26.60,35.64,9.20,12.33,4.00,9.44,,,,,,,15.50,20.77,10.70,14.34,,,,,,,2.60,7.15,,
Granada,Alma F2,68.10,2,1,0,26.60,35.64,9.00,12.06,4.00,9.44,,,,,,,15.50,20.77,10.40,13.94,,,,,,,2.60,7.15,,
Granada,Alma F2,74.80,2,1,0,31.90,42.75,8.80,11.79,4.80,11.33,,,,,,,13.50,18.09,9.60,12.86,,,,,2.40,6.60,3.80,10.45,,
Granada,Alma F2,69.80,2,2,0,21.90,29.35,8.60,11.52,4.40,10.38,4.00,9.44,,,,,13.70,18.36,10.10,13.53,,,,,2.20,6.05,4.90,13.48,,
Granada,Alma F2,67.00,2,2,0,20.30,27.20,6.10,8.17,4.40,10.38,4.20,9.91,,,,,13.40,17.96,11.10,14.87,,,,,5.20,14.30,2.30,6.33,,
Granada,Alma F2,66.00,2,2,0,19.50,26.13,6.10,8.17,4.20,9.91,4.20,9.91,,,,,13.40,17.96,11.10,14.87,,,,,5.20,14.30,2.30,6.33,,
Granada,Alma F2,67.60,2,2,0,20.80,27.87,8.50,11.39,4.00,9.44,3.90,9.20,,,,,12.20,16.35,9.00,12.06,,,,,3.60,9.90,5.60,15.40,,
Granada,Alma F2,74.20,3,1,0,21.90,29.35,9.30,12.46,4.10,9.68,,,,,,,14.30,19.16,10.00,13.40,9.90,13.27,,,2.20,6.05,2.50,6.88,,
Granada,Alma F2,85.30,3,1,0,29.10,38.99,8.90,11.93,4.60,10.86,,,,,,,13.00,17.42,10.40,13.94,9.50,12.73,,,4.60,12.65,5.20,14.30,,
Granada,Alma F2,83.50,3,1,0,27.00,36.18,8.60,11.52,3.90,9.20,,,,,,,13.40,17.96,11.10,14.87,9.20,12.33,,,3.60,9.90,6.70,18.43,,
Granada,Alma F2,82.70,3,1,0,23.60,31.62,8.30,11.12,4.20,9.91,,,,,,,14.10,18.89,11.00,14.74,11.00,14.74,,,5.80,15.95,4.70,12.93,,
Granada,Alma F2,93.30,3,2,0,30.20,40.47,9.80,13.13,4.10,9.68,3.90,9.20,,,,,12.90,17.29,12.30,16.48,10.30,13.80,,,5.40,14.85,4.40,12.10,,
Granada,Alma F2,93.40,3,2,0,30.20,40.47,9.80,13.13,4.10,9.68,3.90,9.20,,,,,12.90,17.29,12.30,16.48,10.30,13.80,,,5.50,15.13,4.40,12.10,,
Granada,Alma F2,83.70,3,1,0,24.10,32.29,8.50,11.39,4.50,10.62,,,,,,,13.80,18.49,10.80,14.47,10.60,14.20,,,4.70,12.93,4.70,12.93,2.00,4.72
Granada,Alma F2,92.80,3,2,0,29.50,39.53,9.90,13.27,4.10,9.68,4.00,9.44,,,,,12.90,17.29,10.30,13.80,12.30,16.48,,,5.40,14.85,4.40,12.10,,
Granada,Alma F2,91.50,3,2,0,28.60,38.32,9.70,13.00,4.40,10.38,3.80,8.97,,,,,13.90,18.63,10.90,14.61,10.20,13.67,,,7.00,19.25,3.00,8.25,,
Granada,Alma F2,95.20,4,2,0,25.40,34.04,9.50,12.73,4.40,10.38,3.90,9.20,,,,,14.00,18.76,9.80,13.13,9.10,12.19,9.10,12.19,4.30,11.83,5.70,15.68,,
Coruna,Caleida - Metrovacesa,70.90,2,2,0,19.60,26.26,8.10,10.85,5.20,12.27,3.50,8.26,,,,,12.20,16.35,10.30,13.80,,,,,6.00,16.50,2.80,7.70,3.20,7.55
Coruna,Caleida - Metrovacesa,69.60,2,2,0,18.30,24.52,8.10,10.85,5.20,12.27,3.50,8.26,,,,,12.20,16.35,10.30,13.80,,,,,6.00,16.50,2.80,7.70,3.20,7.55
Coruna,Caleida - Metrovacesa,70.00,2,2,0,18.00,24.12,7.80,10.45,5.70,13.45,4.00,9.44,,,,,13.00,17.42,8.50,11.39,,,,,4.90,13.48,4.90,13.48,3.20,7.55
Coruna,Habitat - Torre Amura,71.70,2,2,0,20.00,26.80,7.20,9.65,5.10,12.04,4.40,10.38,,,,,12.10,16.21,8.60,11.52,,,,,3.80,10.45,7.50,20.63,3.00,7.08
Coruna,Habitat - Torre Amura,90.50,3,2,0,24.30,32.56,9.00,12.06,5.40,12.74,4.50,10.62,,,,,14.20,19.03,11.50,15.41,8.50,11.39,,,4.70,12.93,4.90,13.48,3.50,8.26
Coruna,Habitat - Torre Amura,90.10,3,2,0,21.30,28.54,9.20,12.33,5.40,12.74,4.20,9.91,,,,,12.50,16.75,12.10,16.21,10.80,14.47,,,5.20,14.30,5.90,16.23,3.50,8.26
