zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Sevilla,Coca Cola,64.85,2,1,0,22.50,30.15,8.95,11.99,5.80,13.69,,,,,,,11.95,16.01,8.95,11.99,,,,,2.60,7.15,4.10,11.28,,
Sevilla,Coca Cola,49.60,2,1,0,16.05,21.51,7.15,9.58,4.60,10.86,,,,,,,10.45,14.00,6.30,8.44,,,,,2.80,7.70,2.25,6.19,,
Sevilla,Torremagna,68.00,2,2,0,22.30,29.88,7.90,10.59,3.80,8.97,3.20,7.55,,,,,15.80,21.17,8.50,11.39,,,,,4.30,11.83,2.20,6.05,,
Sevilla,Pino Montano Emvisesa,59.85,2,1,0,18.20,24.39,7.15,9.58,5.15,12.15,,,,,,,12.70,17.02,10.15,13.60,,,,,3.10,8.53,3.40,9.35,,
Sevilla,SUNP-AE-1,56.24,2,1,0,17.33,23.22,7.00,9.38,4.66,11.00,,,,,,,12.01,16.09,8.60,11.52,,,,,0.93,2.56,5.71,15.70,,
Sevilla,Palmas Altas Sur,58.50,2,1,0,16.90,22.65,8.25,11.06,4.50,10.62,,,,,,,12.05,16.15,9.35,12.53,,,,,2.50,6.88,4.95,13.61,,
Sevilla,Pino Montano Emvisesa,55.05,2,1,0,18.40,24.66,7.00,9.38,3.45,8.14,,,,,,,10.40,13.94,8.20,10.99,,,,,2.25,6.19,5.35,14.71,,
Sevilla,Pol. Aerpuerto,57.16,2,1,0,16.68,22.35,7.61,10.20,4.59,10.83,,,,,,,13.00,17.42,8.10,10.85,,,,,3.15,8.66,4.03,11.08,,
Sevilla,Cisneo Alto,66.74,2,2,0,18.79,25.18,8.93,11.97,4.52,10.67,3.77,8.90,,,,,14.28,19.14,9.47,12.69,,,,,2.69,7.40,2.30,6.33,1.99,4.70
Sevilla,San Jeronimo,59.30,2,1,0,17.70,23.72,10.39,13.92,3.82,9.02,,,,,,,10.33,13.84,8.70,11.66,,,,,4.88,13.42,3.48,9.57,,
Sevilla,Pino Montano Emvisesa,57.25,2,1,0,16.20,21.71,7.05,9.45,3.40,8.02,,,,,,,12.80,17.15,9.45,12.66,,,,,3.55,9.76,4.80,13.20,,
Sevilla,Macarena 40 / Aniceto,67.57,2,1,0,18.60,24.92,10.59,14.19,4.90,11.56,,,,,,,12.51,16.76,11.75,15.75,,,,,4.76,13.09,4.46,12.27,,
Sevilla,Cisneo Alto,66.73,2,1,0,18.87,25.29,12.17,16.31,4.63,10.93,,,,,,,12.54,16.80,9.13,12.23,,,,,6.61,18.18,2.78,7.65,,
Sevilla,Pino Montano Emvisesa,59.60,2,1,0,18.15,24.32,7.10,9.51,3.95,9.32,,,,,,,12.20,16.35,9.40,12.60,,,,,3.80,10.45,5.00,13.75,,
Sevilla,Cros Pirotecnia,61.89,2,1,0,18.78,25.17,8.35,11.19,3.88,9.16,,,,,,,10.67,14.30,10.07,13.49,,,,,4.52,12.43,3.73,10.26,1.89,4.46
Sevilla,Cros Pirotecnia,59.41,2,1,0,18.78,25.17,6.27,8.40,3.88,9.16,,,,,,,10.67,14.30,10.07,13.49,,,,,3.82,10.51,3.73,10.26,2.19,5.17
Sevilla,Cros Pirotecnia,63.32,2,1,0,18.21,24.40,6.98,9.35,4.44,10.48,,,,,,,12.17,16.31,10.89,14.59,,,,,6.38,17.55,2.00,5.50,2.25,5.31
Sevilla,Cros Pirotecnia,57.44,2,1,0,16.33,21.88,7.19,9.63,3.44,8.12,,,,,,,10.54,14.12,9.50,12.73,,,,,4.80,13.20,3.75,10.31,1.89,4.46
Sevilla,Pino Montano Emvisesa,57.10,2,1,0,16.00,21.44,7.00,9.38,4.20,9.91,,,,,,,11.10,14.87,8.70,11.66,,,,,2.80,7.70,5.30,14.58,2.00,4.72
Sevilla,Cros Pirotecnia,57.24,2,1,0,17.24,23.10,7.19,9.63,3.83,9.04,,,,,,,10.07,13.49,8.21,11.00,,,,,4.35,11.96,4.46,12.27,1.89,4.46
Sevilla,Pino Montano Emvisesa,59.45,2,1,0,16.55,22.18,7.35,9.85,4.55,10.74,,,,,,,11.70,15.68,9.10,12.19,,,,,4.75,13.06,5.45,14.99,,
Sevilla,Cros Pirotecnia,56.27,2,1,0,16.32,21.87,7.19,9.63,3.83,9.04,,,,,,,10.07,13.49,8.21,11.00,,,,,4.35,11.96,4.41,12.13,1.89,4.46
Sevilla,Macarena 40 / Aniceto,68.84,2,2,0,19.31,25.88,8.17,10.95,5.19,12.25,3.63,8.57,,,,,14.45,19.36,8.22,11.01,,,,,4.92,13.53,4.95,13.61,,
Sevilla,Cros Pirotecnia,60.34,2,1,0,17.64,23.64,6.97,9.34,3.89,9.18,,,,,,,10.41,13.95,8.98,12.03,,,,,5.11,14.05,5.45,14.99,1.89,4.46
Sevilla,Cros Pirotecnia,66.27,2,1,0,17.50,23.45,7.81,10.47,5.62,13.26,,,,,,,12.23,16.39,9.11,12.21,,,,,6.35,17.46,5.76,15.84,1.89,4.46
Sevilla,Macarena 40 / Aniceto,78.63,3,1,0,22.10,29.61,10.95,14.67,4.41,10.41,,,,,,,15.87,21.27,11.40,15.28,8.56,11.47,,,3.05,8.39,2.29,6.30,,
Sevilla,Palmas Altas Sur,77.40,3,1,0,24.25,32.50,11.30,15.14,5.20,12.27,,,,,,,13.50,18.09,9.30,12.46,8.95,11.99,,,,,4.90,13.48,,
Sevilla,Macarena 40 / Aniceto,73.40,3,1,0,19.62,26.29,7.95,10.65,3.76,8.87,,,,,,,15.97,21.40,10.97,14.70,9.60,12.86,,,2.75,7.56,2.78,7.65,,
Sevilla,Macarena 40 / Aniceto,80.64,3,1,0,25.47,34.13,8.25,11.06,4.03,9.51,,,,,,,17.29,23.17,10.40,13.94,9.05,12.13,,,3.35,9.21,2.80,7.70,,
Sevilla,Aniceto Saenz,71.08,3,1,0,19.62,26.29,8.08,10.83,3.53,8.33,,,,,,,14.53,19.47,10.97,14.70,8.82,11.82,,,2.75,7.56,2.78,7.65,,
Sevilla,Macarena 40 / Aniceto,67.26,3,1,0,18.76,25.14,7.34,9.84,3.65,8.61,,,,,,,13.19,17.67,10.36,13.88,8.47,11.35,,,2.28,6.27,3.21,8.83,,
Sevilla,Macarena 40 / Aniceto,71.91,3,1,0,19.69,26.38,11.87,15.91,4.87,11.49,,,,,,,12.59,16.87,8.84,11.85,8.50,11.39,,,2.78,7.65,2.77,7.62,,
Sevilla,Macarena 40 / Aniceto,69.37,3,1,0,20.29,27.19,7.14,9.57,3.44,8.12,,,,,,,12.35,16.55,10.89,14.59,8.68,11.63,,,2.82,7.76,3.76,10.34,,
Sevilla,Palmas Altas Sur,69.45,3,1,0,19.40,26.00,7.10,9.51,3.85,9.09,,,,,,,12.95,17.35,9.35,12.53,9.35,12.53,,,,,4.80,13.20,2.65,6.25
Sevilla,Macarena 40 / Aniceto,69.75,3,2,0,18.04,24.17,9.76,13.08,4.61,10.88,3.19,7.53,,,,,12.92,17.31,8.64,11.58,8.39,11.24,,,2.11,5.80,2.09,5.75,,
Sevilla,SUNP-AE-1,68.11,3,2,0,18.53,24.83,7.99,10.71,3.36,7.93,2.37,5.59,,,,,12.93,17.33,8.71,11.67,8.69,11.64,,,1.10,3.03,4.43,12.18,,
Sevilla,Pol. Aerpuerto,67.98,3,2,0,19.40,26.00,8.02,10.75,3.56,8.40,2.65,6.25,,,,,11.94,16.00,8.94,11.98,8.06,10.80,,,2.28,6.27,3.13,8.61,,
Sevilla,Pol. Aerpuerto,69.93,3,2,0,19.09,25.58,7.49,10.04,3.52,8.31,2.65,6.25,,,,,13.13,17.59,9.17,12.29,8.93,11.97,,,2.49,6.85,3.46,9.52,,
Sevilla,Pol. Aerpuerto,66.76,3,2,0,18.42,24.68,7.42,9.94,3.52,8.31,2.65,6.25,,,,,10.41,13.95,9.86,13.21,8.90,11.93,,,2.26,6.22,3.32,9.13,,
Sevilla,Cisneo Alto,74.44,3,1,0,18.88,25.30,8.03,10.76,3.75,8.85,,,,,,,12.34,16.54,12.08,16.19,10.13,13.57,,,4.04,11.11,2.54,6.99,2.65,6.25
Sevilla,Pol. Aerpuerto,66.63,3,2,0,18.60,24.92,7.42,9.94,3.58,8.45,2.45,5.78,,,,,11.61,15.56,8.90,11.93,8.34,11.18,,,2.26,6.22,3.47,9.54,,
Sevilla,Macarena 40 / Aniceto,70.90,3,1,0,18.48,24.76,10.02,13.43,4.42,10.43,,,,,,,13.97,18.72,8.46,11.34,8.00,10.72,,,3.61,9.93,3.94,10.84,,
Sevilla,Pol. Aerpuerto,68.32,3,2,0,19.36,25.94,7.49,10.04,3.60,8.50,2.65,6.25,,,,,11.54,15.46,9.29,12.45,8.53,11.43,,,2.42,6.66,3.44,9.46,,
Sevilla,Pol. Aerpuerto,66.62,3,2,0,18.38,24.63,7.42,9.94,3.52,8.31,2.65,6.25,,,,,11.59,15.53,9.10,12.19,8.04,10.77,,,2.26,6.22,3.66,10.07,,
Sevilla,Pino Montano Emvisesa,68.20,3,2,0,18.00,24.12,7.15,9.58,3.50,8.26,3.15,7.43,,,,,12.05,16.15,11.30,15.14,7.20,9.65,,,2.20,6.05,3.65,10.04,,
Sevilla,Pol. Aerpuerto,67.62,3,2,0,18.48,24.76,7.49,10.04,4.01,9.46,2.87,6.77,,,,,13.10,17.55,8.07,10.81,8.00,10.72,,,2.41,6.63,3.19,8.77,,
Sevilla,M10 Bermejales,67.95,3,1,1,19.75,26.47,10.00,13.40,3.82,9.02,,,,,2.24,5.29,10.37,13.90,7.72,10.34,7.69,10.30,,,2.56,7.04,3.80,10.45,,
Sevilla,San Jeronimo,68.84,3,1,1,19.47,26.09,9.84,13.19,3.20,7.55,,,,,2.86,6.75,11.62,15.57,7.99,10.71,7.30,9.78,,,2.58,7.10,3.98,10.95,,
Sevilla,Pino Montano Emvisesa,68.95,3,2,0,18.00,24.12,7.00,9.38,3.45,8.14,2.40,5.66,,,,,13.15,17.62,9.60,12.86,8.55,11.46,,,2.50,6.88,4.30,11.83,,
Sevilla,Pino Montano ,70.00,3,2,0,18.20,24.39,7.00,9.38,3.40,8.02,2.00,4.72,,,,,11.90,15.95,11.50,15.41,8.65,11.59,,,7.35,20.21,,,,
Sevilla,Aniceto Saez,66.78,3,2,0,18.02,24.15,7.02,9.41,2.86,6.75,2.85,6.73,,,,,12.31,16.50,8.82,11.82,8.20,10.99,,,3.22,8.86,3.48,9.57,,
Sevilla,Cisneo Alto,75.30,3,1,0,19.04,25.51,8.05,10.79,4.49,10.60,,,,,,,14.24,19.08,9.97,13.36,9.78,13.11,,,3.95,10.86,3.16,8.69,2.62,6.18
Sevilla,Pino Montano ,69.20,3,2,0,19.10,25.59,7.00,9.38,3.25,7.67,3.15,7.43,,,,,11.80,15.81,10.10,13.53,8.15,10.92,,,6.65,18.29,,,,
Sevilla,Macarena 40 / Aniceto,67.91,3,2,0,18.23,24.43,7.03,9.42,4.58,10.81,3.21,7.58,,,,,12.01,16.09,8.87,11.89,8.54,11.44,,,2.25,6.19,3.19,8.77,,
Sevilla,M10 Bermejales,69.80,3,1,1,18.93,25.37,10.00,13.40,4.41,10.41,,,,,2.40,5.66,10.91,14.62,8.50,11.39,8.15,10.92,,,2.54,6.99,3.96,10.89,,
Sevilla,Macarena 40 / Aniceto,69.94,3,2,0,18.08,24.23,7.02,9.41,3.76,8.87,2.80,6.61,,,,,13.76,18.44,9.59,12.85,8.22,11.01,,,3.22,8.86,3.49,9.60,,
Sevilla,M10 Bermejales,63.38,3,1,1,18.62,24.95,7.88,10.56,3.60,8.50,,,,,2.18,5.14,10.11,13.55,7.38,9.89,7.36,9.86,,,2.56,7.04,3.69,10.15,,
Sevilla,Cisneo Alto,80.11,3,1,0,22.90,30.69,10.27,13.76,7.27,17.16,,,,,,,14.59,19.55,8.71,11.67,8.30,11.12,,,4.21,11.58,3.86,10.62,,
Sevilla,M10 Bermejales,64.19,3,1,1,18.62,24.95,8.23,11.03,3.75,8.85,,,,,2.40,5.66,10.20,13.67,7.38,9.89,7.36,9.86,,,2.56,7.04,3.69,10.15,,
Sevilla,M10 Bermejales,65.27,3,1,1,19.20,25.73,8.42,11.28,3.67,8.66,,,,,2.18,5.14,10.28,13.78,7.41,9.93,7.39,9.90,,,3.00,8.25,3.72,10.23,,
Sevilla,Cisneo Alto,84.49,3,1,0,24.75,33.17,8.14,10.91,6.33,14.94,,,,,,,12.87,17.25,11.23,15.05,10.78,14.45,,,3.36,9.24,4.31,11.85,2.72,6.42
Sevilla,SUNP-AE-1,69.11,3,2,0,19.53,26.17,7.48,10.02,3.57,8.43,2.38,5.62,,,,,12.40,16.62,8.21,11.00,8.17,10.95,,,1.26,3.47,6.11,16.80,,
Sevilla,M10 Bermejales,66.55,3,1,1,18.81,25.21,10.02,13.43,3.60,8.50,,,,,2.18,5.14,10.11,13.55,7.38,9.89,7.34,9.84,,,3.42,9.41,3.69,10.15,,
Sevilla,Cisneo Alto,74.28,3,1,0,18.48,24.76,7.82,10.48,4.30,10.15,,,,,,,15.73,21.08,9.51,12.74,8.02,10.75,,,2.72,7.48,5.16,14.19,2.54,5.99
Sevilla,SUNP-AE-1,67.95,3,2,0,18.14,24.31,7.57,10.14,3.57,8.43,2.52,5.95,,,,,12.44,16.67,8.26,11.07,8.12,10.88,,,1.27,3.49,6.06,16.67,,
Sevilla,SUNP-AE-1,66.75,3,2,0,18.15,24.32,7.26,9.73,3.36,7.93,2.37,5.59,,,,,12.12,16.24,8.09,10.84,8.00,10.72,,,1.15,3.16,6.25,17.19,,
Sevilla,Macarena 40 / Aniceto,78.48,3,1,0,19.51,26.14,8.25,11.06,5.19,12.25,,,,,,,14.45,19.36,13.00,17.42,8.22,11.01,,,4.91,13.50,4.95,13.61,,
Sevilla,SUNP-AE-1,69.99,3,2,0,19.96,26.75,7.09,9.50,3.92,9.25,2.88,6.80,,,,,12.00,16.08,8.41,11.27,8.38,11.23,,,1.17,3.22,6.18,17.00,,
Sevilla,Pino Montano Emvisesa,69.75,3,2,0,18.00,24.12,7.10,9.51,4.15,9.79,2.25,5.31,,,,,11.75,15.75,9.75,13.07,9.15,12.26,,,2.75,7.56,4.85,13.34,,
Sevilla,Cisneo Alto,72.15,3,1,0,19.20,25.73,7.87,10.55,4.79,11.30,,,,,,,12.70,17.02,9.46,12.68,8.92,11.95,,,3.69,10.15,5.52,15.18,,
Sevilla,Pino Montano ,70.00,3,2,0,18.30,24.52,7.60,10.18,3.75,8.85,2.60,6.14,,,,,10.90,14.61,10.45,14.00,8.65,11.59,,,2.75,7.56,5.00,13.75,,
Sevilla,SUNP-AE-1,68.54,3,2,0,18.49,24.78,7.59,10.17,3.78,8.92,3.14,7.41,,,,,12.03,16.12,8.25,11.06,8.10,10.85,,,1.24,3.41,5.92,16.28,,
Sevilla,San Jeronimo,67.84,3,2,0,18.39,24.64,7.96,10.67,3.52,8.31,3.10,7.32,,,,,11.76,15.76,8.64,11.58,7.20,9.65,,,3.22,8.86,4.05,11.14,,
Sevilla,San Jeronimo,68.77,3,2,0,18.12,24.28,8.52,11.42,3.52,8.31,3.18,7.50,,,,,11.93,15.99,8.89,11.91,7.20,9.65,,,3.38,9.30,4.03,11.08,,
Sevilla,Pol. Aerpuerto,76.38,3,2,0,20.11,26.95,8.17,10.95,4.48,10.57,4.30,10.15,,,,,13.80,18.49,9.48,12.70,8.76,11.74,,,4.20,11.55,3.08,8.47,,
Sevilla,Pino Montano Emvisesa,69.95,3,2,0,18.00,24.12,7.05,9.45,3.95,9.32,2.30,5.43,,,,,11.80,15.81,9.75,13.07,9.10,12.19,,,2.40,6.60,5.60,15.40,,
Sevilla,SUNP-AE-1,68.35,3,2,0,18.19,24.37,7.26,9.73,3.38,7.98,3.36,7.93,,,,,12.60,16.88,8.13,10.89,8.01,10.73,,,1.15,3.16,6.27,17.24,,
Sevilla,Pol. Aerpuerto,78.51,3,2,0,18.22,24.41,7.91,10.60,6.19,14.61,3.89,9.18,,,,,16.37,21.94,10.51,14.08,8.53,11.43,,,2.97,8.17,3.92,10.78,,
Sevilla,Pino Montano Emvisesa,70.00,3,2,0,18.10,24.25,7.00,9.38,3.95,9.32,2.35,5.55,,,,,11.70,15.68,9.65,12.93,9.10,12.19,,,2.50,6.88,5.65,15.54,,
Sevilla,Pino Montano ,70.00,3,2,0,18.00,24.12,7.20,9.65,3.80,8.97,2.30,5.43,,,,,11.35,15.21,10.00,13.40,8.90,11.93,,,8.45,23.24,,,,
Sevilla,Cisneo Alto,77.78,3,1,0,19.03,25.50,8.28,11.10,5.38,12.70,,,,,,,14.83,19.87,9.69,12.98,9.17,12.29,,,3.40,9.35,4.45,12.24,3.55,8.38
Sevilla,Pino Montano Emvisesa,69.85,3,2,0,18.20,24.39,7.00,9.38,3.85,9.09,3.60,8.50,,,,,10.80,14.47,9.45,12.66,9.40,12.60,,,2.20,6.05,5.35,14.71,,
Sevilla,Pino Montano Emvisesa,69.30,3,2,0,18.20,24.39,7.00,9.38,4.15,9.79,2.40,5.66,,,,,11.00,14.74,9.60,12.86,8.80,11.79,,,2.50,6.88,5.65,15.54,,
Sevilla,Torreblanca / Alberchigo,69.94,3,1,1,18.09,24.24,7.73,10.36,5.10,12.04,,,,,2.92,6.89,12.05,16.15,8.37,11.22,8.37,11.22,,,7.31,20.10,,,,
Sevilla,Cisneo Alto,75.90,3,1,0,21.06,28.22,8.65,11.59,6.35,14.99,,,,,,,12.55,16.82,8.75,11.73,8.69,11.64,,,3.56,9.79,6.29,17.30,,
Sevilla,SUNP-AE-1,69.05,3,2,0,18.04,24.17,7.02,9.41,3.92,9.25,2.94,6.94,,,,,12.01,16.09,8.38,11.23,8.38,11.23,,,1.18,3.25,7.18,19.75,,
Sevilla,SUNP-AE-1,68.87,3,2,0,18.03,24.16,7.33,9.82,4.69,11.07,2.04,4.81,,,,,12.36,16.56,8.00,10.72,8.00,10.72,,,1.24,3.41,7.18,19.75,,
Sevilla,Pino Montano Emvisesa,68.65,3,2,0,18.50,24.79,7.15,9.58,3.95,9.32,2.90,6.84,,,,,12.45,16.68,8.05,10.79,7.30,9.78,,,4.55,12.51,3.80,10.45,,
Sevilla,SUNP-AE-1,70.00,3,2,0,18.23,24.43,7.07,9.47,3.92,9.25,3.81,8.99,,,,,12.13,16.25,8.50,11.39,8.14,10.91,,,1.15,3.16,7.05,19.39,,
Sevilla,Coca Cola,75.95,3,2,0,21.00,28.14,10.35,13.87,4.90,11.56,4.65,10.97,,,,,12.55,16.82,8.00,10.72,6.40,8.58,,,4.55,12.51,3.55,9.76,,
Sevilla,Pino Montano Emvisesa,69.40,3,2,0,18.45,24.72,7.00,9.38,3.90,9.20,3.35,7.91,,,,,11.45,15.34,9.15,12.26,7.40,9.92,,,2.35,6.46,6.35,17.46,,
Sevilla,Pino Montano Emvisesa,67.20,3,2,0,18.55,24.86,7.05,9.45,3.80,8.97,3.15,7.43,,,,,10.65,14.27,7.70,10.32,7.70,10.32,,,4.35,11.96,4.25,11.69,,
Sevilla,San Jeronimo,67.50,3,2,0,18.32,24.55,7.96,10.67,3.52,8.31,3.89,9.18,,,,,11.24,15.06,7.28,9.76,6.96,9.33,,,3.19,8.77,5.14,14.14,,
Sevilla,Torremagna,85.70,3,1,0,22.40,30.02,9.50,12.73,4.30,10.15,,,,,,,15.60,20.90,10.30,13.80,9.00,12.06,,,6.30,17.33,8.30,22.83,,
Sevilla,Macarena 40 / Aniceto,74.66,3,1,0,18.23,24.43,8.30,11.12,5.07,11.97,,,,,,,13.63,18.26,8.83,11.83,8.60,11.52,,,4.25,11.69,7.75,21.31,,
Sevilla,SUNP-AE-1,69.99,3,2,0,18.06,24.20,7.15,9.58,3.92,9.25,2.94,6.94,,,,,12.07,16.17,8.08,10.83,8.01,10.73,,,1.22,3.36,8.54,23.49,,
Sevilla,Macarena 40 / Aniceto,81.05,3,1,0,20.04,26.85,12.37,16.58,3.44,8.12,,,,,,,12.30,16.48,10.19,13.65,8.01,10.73,,,8.06,22.17,6.64,18.26,,
Sevilla,Pol. Aerpuerto,78.11,3,2,0,18.24,24.44,7.97,10.68,4.94,11.66,4.59,10.83,,,,,12.65,16.95,10.62,14.23,8.51,11.40,,,6.39,17.57,4.20,11.55,,
Sevilla,Palmas Altas Sur,85.90,4,1,0,23.85,31.96,9.30,12.46,3.85,9.09,,,,,,,13.30,17.82,8.95,11.99,8.95,11.99,8.75,11.73,,,6.15,16.91,2.80,6.61
Sevilla,San Jeronimo,78.97,4,1,0,20.46,27.42,9.44,12.65,3.76,8.87,,,,,,,10.53,14.11,9.75,13.07,8.03,10.76,7.90,10.59,3.89,10.70,5.21,14.33,,
Sevilla,Pino Montano Emvisesa,85.95,4,2,0,20.50,27.47,8.00,10.72,4.30,10.15,3.65,8.61,,,,,14.70,19.70,10.40,13.94,8.60,11.52,8.50,11.39,3.90,10.73,3.40,9.35,,
Sevilla,M10 Bermejales,80.68,4,1,0,20.77,27.83,11.05,14.81,4.16,9.82,,,,,,,12.00,16.08,8.60,11.52,7.44,9.97,7.36,9.86,2.73,7.51,6.57,18.07,,
Sevilla,Navalcerrada - Palmas Altas,100.20,4,3,0,25.90,34.71,11.10,14.87,4.00,9.44,3.70,8.73,2.40,5.66,,,13.30,17.82,13.00,17.42,9.40,12.60,9.40,12.60,5.00,13.75,3.00,8.25,,
Sevilla,M10 Bermejales,79.01,4,1,0,20.92,28.03,9.40,12.60,4.16,9.82,,,,,,,12.00,16.08,8.60,11.52,7.44,9.97,7.36,9.86,2.56,7.04,6.57,18.07,,
Sevilla,Cisneo Alto,91.46,4,2,0,24.32,32.59,8.63,11.56,5.35,12.63,4.66,11.00,,,,,14.65,19.63,8.94,11.98,8.56,11.47,8.51,11.40,,,4.70,12.93,3.14,7.41
Sevilla,M10 Bermejales,82.24,4,1,0,21.18,28.38,11.51,15.42,4.16,9.82,,,,,,,12.00,16.08,8.60,11.52,7.44,9.97,7.36,9.86,3.42,9.41,6.57,18.07,,
Sevilla,Pino Montano Emvisesa,83.60,4,2,0,20.15,27.00,7.00,9.38,3.50,8.26,3.10,7.32,,,,,13.20,17.69,10.95,14.67,8.95,11.99,8.15,10.92,2.50,6.88,6.10,16.78,,
Sevilla,San Jeronimo,82.34,4,1,0,20.51,27.48,10.36,13.88,3.79,8.94,,,,,,,10.55,14.14,10.53,14.11,8.03,10.76,7.90,10.59,5.46,15.02,5.21,14.33,,
Sevilla,SUNP-AE-1,79.26,4,1,0,19.82,26.56,7.04,9.43,4.57,10.79,,,,,,,13.93,18.67,8.05,10.79,8.02,10.75,8.00,10.72,1.12,3.08,8.71,23.95,,
Sevilla,Pino Montano Emvisesa,89.45,4,2,0,20.80,27.87,9.55,12.80,5.35,12.63,3.05,7.20,,,,,12.35,16.55,10.75,14.41,10.20,13.67,8.35,11.19,3.35,9.21,5.70,15.68,,
Sevilla,Pino Montano Emvisesa,82.55,4,2,0,20.15,27.00,8.70,11.66,3.55,8.38,3.10,7.32,,,,,12.80,17.15,8.65,11.59,7.75,10.39,7.75,10.39,4.05,11.14,6.05,16.64,,
Sevilla,Torremagna,95.40,4,2,1,24.80,33.23,9.10,12.19,3.60,8.50,3.40,8.02,,,1.80,4.25,14.20,19.03,10.10,13.53,8.70,11.66,8.70,11.66,,,11.00,30.25,,
Sevilla,Cisneo Alto,91.51,4,2,0,22.51,30.16,10.87,14.57,4.67,11.02,4.42,10.43,,,,,12.45,16.68,8.81,11.81,8.47,11.35,8.43,11.30,2.47,6.79,5.94,16.34,2.47,5.83
Sevilla,Pino Montano Emvisesa,90.00,4,2,0,21.15,28.34,8.50,11.39,4.15,9.79,3.80,8.97,,,,,13.20,17.69,10.70,14.34,9.40,12.60,7.00,9.38,5.90,16.23,6.20,17.05,,
Sevilla,Pol. Aerpuerto,89.32,4,2,0,22.47,30.11,7.76,10.40,3.95,9.32,3.61,8.52,,,,,12.06,16.16,9.18,12.30,9.16,12.27,8.86,11.87,5.76,15.84,6.51,17.90,,
Sevilla,Pino Montano ,90.00,4,2,0,21.60,28.94,7.20,9.65,4.40,10.38,4.20,9.91,,,,,13.15,17.62,11.60,15.54,8.20,10.99,7.25,9.72,12.40,34.10,,,,
Sevilla,Pino Montano Emvisesa,90.95,4,2,0,20.15,27.00,7.00,9.38,3.90,9.20,3.35,7.91,,,,,12.70,17.02,11.75,15.75,10.85,14.54,7.05,9.45,3.70,10.18,8.40,23.10,2.10,4.96
Sevilla,Torremagna,100.30,4,2,0,22.80,30.55,8.90,11.93,3.90,9.20,3.20,7.55,,,,,15.60,20.90,9.30,12.46,9.30,12.46,9.00,12.06,5.40,14.85,3.70,10.18,9.20,21.71
Sevilla,Altos del Aire - Insur,98.00,4,2,0,22.44,30.07,9.22,12.35,3.84,9.06,3.36,7.93,,,,,13.05,17.49,10.12,13.56,10.03,13.44,9.67,12.96,9.50,26.13,3.23,8.88,3.54,8.35
Sevilla,Torremagna,94.80,4,2,0,22.00,29.48,8.60,11.52,5.50,12.98,4.40,10.38,,,,,15.40,20.64,8.90,11.93,8.80,11.79,8.00,10.72,,,13.20,36.30,,
Sevilla,Pino Montano Emvisesa,89.85,4,2,0,20.55,27.54,7.55,10.12,4.20,9.91,4.15,9.79,,,,,11.85,15.88,9.40,12.60,9.15,12.26,8.40,11.26,3.70,10.18,8.40,23.10,2.50,5.90
Teruel,Las Dalias,76.95,2,2,0,22.00,29.48,11.65,15.61,4.25,10.03,3.85,9.09,,,,,12.95,17.35,11.50,15.41,,,,,5.25,14.44,5.50,15.13,,
Teruel,Las Dalias,90.10,3,2,0,24.10,32.29,12.60,16.88,4.30,10.15,4.10,9.68,,,,,15.75,21.11,10.35,13.87,10.00,13.40,,,7.55,20.76,1.35,3.71,,
Teruel,Las Dalias,92.20,3,2,0,25.95,34.77,13.05,17.49,4.10,9.68,4.00,9.44,,,,,15.25,20.44,10.25,13.74,10.00,13.40,,,8.30,22.83,1.30,3.58,,
Teruel,Las Dalias,95.55,3,2,0,26.85,35.98,13.15,17.62,4.50,10.62,4.10,9.68,,,,,16.70,22.38,10.35,13.87,9.90,13.27,,,8.70,23.93,1.30,3.58,,
Teruel,Las Dalias,107.40,4,2,0,27.40,36.72,13.75,18.43,4.10,9.68,4.10,9.68,,,,,16.55,22.18,10.35,13.87,10.00,13.40,9.40,12.60,10.45,28.74,1.30,3.58,,
Teruel,Las Dalias,110.50,4,2,0,24.25,32.50,17.85,23.92,4.65,10.97,3.60,8.50,,,,,15.55,20.84,11.25,15.08,10.25,13.74,9.05,12.13,10.35,28.46,3.70,10.18,,
Teruel,Las Dalias,115.30,4,2,0,25.55,34.24,16.75,22.45,4.55,10.74,3.85,9.09,,,,,16.70,22.38,10.30,13.80,10.30,13.80,10.00,13.40,4.00,11.00,13.30,36.58,,
Valladolid,Resid. Castilla,68.10,2,1,0,19.20,25.73,9.45,12.66,4.40,10.38,,,,,,,15.10,20.23,10.15,13.60,,,,,7.55,20.76,1.00,2.75,1.25,2.95
Valladolid,Resid. Castilla,84.90,3,1,0,22.40,30.02,10.30,13.80,4.25,10.03,,,,,,,15.95,21.37,12.60,16.88,10.05,13.47,,,3.15,8.66,6.20,17.05,,
Valladolid,Resid. Castilla,78.35,3,1,0,19.60,26.26,9.70,13.00,4.05,9.56,,,,,,,13.55,18.16,9.75,13.07,9.55,12.80,,,7.25,19.94,3.50,9.63,1.40,3.30
